sample	line_order	tissue	tissue_label	tissue_color	qscore	density
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.637916701305176	0.0013905591549569502
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.687965621542805	0.0014224055169971424
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.738014541780437	0.0014656723106511462
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.78806346201807	0.0015205888781312578
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.838112382255698	0.0015866738811321994
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.88816130249333	0.0016628207139655423
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.93821022273096	0.0017474291876442183
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	27.98825914296859	0.0018385646506175269
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.038308063206223	0.001934127308774218
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.088356983443852	0.0020320180815618792
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.138405903681484	0.0021302911010444847
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.188454823919116	0.0022272854426697015
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.238503744156745	0.0023217291931127843
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.288552664394377	0.0024128078929781427
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.33860158463201	0.002500188073627165
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.388650504869638	0.002583986860778068
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.43869942510727	0.0026646820598302816
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.4887483453449	0.002742964472642264
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.53879726558253	0.0028195447452299153
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.588846185820163	0.002894938720414187
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.63889510605779	0.002969265029442517
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.688944026295424	0.0030420933578078893
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.738992946533052	0.0031123791809518526
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.789041866770685	0.003178510140079385
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.839090787008317	0.003238471931542574
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.889139707245945	0.0032901206532666497
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.939188627483578	0.003331528033328165
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	28.98923754772121	0.0033613499433797446
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.03928646795884	0.00337916027018083
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.08933538819647	0.0033856932526824227
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.139384308434103	0.0033829477098203547
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.18943322867173	0.0033741245300368573
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.239482148909364	0.0033633915890017257
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.289531069146996	0.0033554945678648893
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.339579989384625	0.0033552545909913433
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.389628909622257	0.0033670112060976125
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.439677829859885	0.0033940796816644436
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.489726750097518	0.003438293445778827
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.539775670335146	0.003499695260149382
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.58982459057278	0.0035764249709099977
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.63987351081041	0.003664828995559621
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.68992243104804	0.003759789628315986
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.73997135128567	0.0038552440485760515
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.790020271523304	0.003944837280756104
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.840069191760932	0.0040226339213821315
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.890118111998564	0.004083803303563122
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.940167032236197	0.004125193902247381
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	29.990215952473825	0.004145725648787076
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.040264872711457	0.004146552068800014
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.09031379294909	0.004130974644725781
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.14036271318672	0.004104124971943378
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.19041163342435	0.004072460844543391
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.240460553661983	0.004043145326329408
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.29050947389961	0.004023389331894567
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.340558394137243	0.004019836538673259
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.390607314374872	0.004038055359659003
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.440656234612504	0.004082179406409439
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.490705154850133	0.004154710270551669
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.540754075087765	0.00425647012517287
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.590802995325397	0.004386671639251544
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.640851915563026	0.004543062468850263
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.690900835800658	0.004722102344967298
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.74094975603829	0.004919141308720745
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.79099867627592	0.005128584659906799
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.84104759651355	0.005344049057735147
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.891096516751183	0.005558529967583998
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.941145436988812	0.005764609023318735
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	30.991194357226444	0.005954728277305402
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.041243277464076	0.006121546481617253
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.091292197701705	0.006258372775594413
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.141341117939337	0.006359649929935595
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.191390038176966	0.006421438350001874
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.241438958414598	0.006441838983443873
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.291487878652227	0.006421292113784168
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.34153679888986	0.006362700969830834
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.39158571912749	0.006271352097127313
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.44163463936512	0.006154633660569293
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.491683559602752	0.006021581884074807
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.541732479840384	0.0058823085174262895
GTOP-CJ092-4023-LN-M6LH	0	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	31.591781400078013	0.005747374284480192
