sample_id	level	correlation
AK091-1710	transcript	0.605186221735024
BJ191-1108	transcript	0.5105881574025333
CL171-1601	transcript	0.580230025411332
CC241-5156	transcript	0.5560020925843677
BC181-0087	transcript	0.5869988293514208
AJ221-1710	transcript	0.568260499290826
BB202-4002	transcript	0.5186373618116598
BK161-1236	transcript	0.5550420275255993
BK191-0262	transcript	0.5722938970626412
CB271-4003	transcript	0.5435773793945814
CI221-5415	transcript	0.5801721551107701
CK031-4022	transcript	0.5875657316376892
AK111-1856	transcript	0.5947784084776981
BA082-0160	transcript	0.613483569910549
BA251-2099	transcript	0.6210669693187094
CH041-3170	transcript	0.6090748384680494
BL161-1108	transcript	0.5477680221727435
CI201-1053	transcript	0.5933920491158498
CC241-1584	transcript	0.527904752054349
AK112-1584	transcript	0.5760412397497491
BK281-1108	transcript	0.512401192811617
BH131-1710	transcript	0.5140856240255436
CD021-4002	transcript	0.5989610603533314
CI221-6145	transcript	0.5726213804345573
CD021-4003	transcript	0.5861260550130759
CC311-5032	transcript	0.5936487427157431
BF251-4155	transcript	0.5763789337965168
CC241-4018	transcript	0.5695451621412233
AK111-1236	transcript	0.5983309111430506
CE141-0262	transcript	0.5259845216962524
AK231-4023	transcript	0.5591673204210386
CA171-4149	transcript	0.6002025912748048
AK112-1856	transcript	0.5787062276120131
CG111-1053	transcript	0.573184483787438
CJ092-6246	transcript	0.5765804153818694
BE161-5302	transcript	0.454707984992548
BA232-1856	transcript	0.6127000570916754
CE161-0262	transcript	0.5352406064994667
BK281-4149	transcript	0.5811649851125845
CB271-4022	transcript	0.4716887799372848
AK091-4023	transcript	0.5912106215151836
BJ141-0087	transcript	0.5568239497334563
BH101-0087	transcript	0.60203727189438
CI291-5415	transcript	0.6089104087920826
CF011-1108	transcript	0.6097845818096509
BK281-4018	transcript	0.5636613165257961
AL121-1053	transcript	0.6207309089123332
CJ151-5415	transcript	0.6025327873681845
CB151-4149	transcript	0.5368254180850678
BC041-0262	transcript	0.5666297230160215
CC311-4003	transcript	0.5867294607417475
AK281-1108	transcript	0.5609592942974667
CI221-3082	transcript	0.5815932107505449
CG172-1601	transcript	0.5694273801643123
CC041-0262	transcript	0.5341311876477152
CC201-3170	transcript	0.5676305407393564
CI301-4022	transcript	0.5817275990290199
CB271-4023	transcript	0.4891638605588835
CK031-4019	transcript	0.5673870189438999
CJ231-0160	transcript	0.6041994817661839
BA191-2099	transcript	0.6073260182409107
AK112-1470	transcript	0.500105312470461
BL161-4149	transcript	0.5709180035983611
AK091-4003	transcript	0.5760223093714535
CB271-4002	transcript	0.5180284893919329
BH131-1601	transcript	0.5525190241927802
CL141-5415	transcript	0.5681799154062642
CG041-4023	transcript	0.5956461234505009
CB271-4018	transcript	0.489206279198455
AJ221-5032	transcript	0.6052399573711406
CC241-4022	transcript	0.5650337250836306
AK092-1053	transcript	0.6291255358475132
BK161-1392	transcript	0.5331046182551641
CK031-4002	transcript	0.5890328157745685
BB201-1053	transcript	0.592818341323687
CJ111-0378	transcript	0.5943545495911329
AK112-1601	transcript	0.5644099979173328
CB271-5032	transcript	0.5616563824708601
AJ221-1584	transcript	0.5949862343659454
BL261-0262	transcript	0.567886379975892
AJ221-4149	transcript	0.5609161567935079
CB271-0262	transcript	0.5891383250221968
AJ221-4003	transcript	0.5509575381356963
AK112-4019	transcript	0.5995404956808897
CC131-3082	transcript	0.5926968001754607
BB201-4149	transcript	0.5347429764367844
CJ151-6145	transcript	0.5909613492755452
AL271-1856	transcript	0.6184559719450553
BA232-0378	transcript	0.6136584670732438
BB201-1856	transcript	0.5691652071382689
CC311-4002	transcript	0.6018933043544495
CG041-4018	transcript	0.5809657945556944
CL111-6145	transcript	0.6068539603950069
CH081-1053	transcript	0.5507906884373107
CC241-4003	transcript	0.5387050113154839
CG071-4002	transcript	0.5518319975970526
CF242-0087	transcript	0.6042509892655443
BK281-1236	transcript	0.5430946024143096
