1317	HG03027	GWD	0.002116	0.997854	0.000010	0.000010	0.000010
1157	HG02588	GWD	0.000010	0.985815	0.010245	0.003920	0.000010
1275	HG02882	GWD	0.000010	0.989759	0.009615	0.000010	0.000606
1490	HG03538	GWD	0.000306	0.984399	0.000010	0.015274	0.000010
1274	HG02881	GWD	0.000010	0.999960	0.000010	0.000010	0.000010
1230	HG02763	GWD	0.004481	0.976692	0.009237	0.009580	0.000010
1270	HG02861	GWD	0.000010	0.982526	0.017444	0.000010	0.000010
1214	HG02716	GWD	0.009126	0.989446	0.001408	0.000010	0.000010
1269	HG02860	GWD	0.000010	0.979742	0.015471	0.000010	0.004767
1252	HG02808	GWD	0.003271	0.967458	0.028311	0.000950	0.000010
1304	HG02983	GWD	0.000010	0.976408	0.017500	0.006072	0.000010
1168	HG02613	GWD	0.000010	0.953375	0.031227	0.015378	0.000010
1227	HG02757	GWD	0.000010	0.992835	0.000010	0.007135	0.000010
1226	HG02756	GWD	0.000010	0.982399	0.014472	0.000010	0.003109
1166	HG02610	GWD	0.000010	0.981183	0.018472	0.000325	0.000010
1406	HG03241	GWD	0.000010	0.992725	0.006678	0.000010	0.000576
1232	HG02769	GWD	0.000010	0.987205	0.012765	0.000010	0.000010
1258	HG02817	GWD	0.000010	0.963832	0.036138	0.000010	0.000010
1248	HG02799	GWD	0.000010	0.983156	0.010799	0.006025	0.000010
1233	HG02771	GWD	0.000010	0.998496	0.001474	0.000010	0.000010
1107	HG02462	GWD	0.000010	0.945571	0.054399	0.000010	0.000010
1180	HG02645	GWD	0.000010	0.975355	0.012948	0.011252	0.000434
1231	HG02768	GWD	0.000010	0.989301	0.000010	0.010669	0.000010
1271	HG02870	GWD	0.004316	0.975102	0.003862	0.010927	0.005795
1315	HG03024	GWD	0.007880	0.992090	0.000010	0.000010	0.000010
1251	HG02807	GWD	0.000010	0.966228	0.028363	0.004990	0.000409
1261	HG02836	GWD	0.000010	0.979014	0.000010	0.016928	0.004038
1268	HG02855	GWD	0.000010	0.973830	0.009675	0.007695	0.008790
1281	HG02891	GWD	0.004163	0.979397	0.016421	0.000010	0.000010
1215	HG02721	GWD	0.000010	0.980926	0.002550	0.016504	0.000010
1197	HG02679	GWD	0.000010	0.981785	0.018185	0.000010	0.000010
1407	HG03246	GWD	0.003665	0.970536	0.021917	0.003871	0.000010
1273	HG02879	GWD	0.000010	0.985263	0.013177	0.001541	0.000010
1322	HG03046	GWD	0.000010	0.965833	0.013525	0.020621	0.000010
1109	HG02465	GWD	0.000010	0.985498	0.010849	0.003633	0.000010
1276	HG02884	GWD	0.000010	0.979781	0.014774	0.005424	0.000010
1193	HG02667	GWD	0.009894	0.979321	0.009455	0.000010	0.001319
1324	HG03049	GWD	0.009290	0.979808	0.010179	0.000010	0.000713
1264	HG02840	GWD	0.001826	0.977835	0.014831	0.005497	0.000010
1159	HG02594	GWD	0.000010	0.973890	0.026080	0.000010	0.000010
1260	HG02820	GWD	0.000010	0.987808	0.000058	0.012114	0.000010
1279	HG02888	GWD	0.000010	0.971685	0.028285	0.000010	0.000010
1195	HG02676	GWD	0.001440	0.961566	0.032876	0.004109	0.000010
1211	HG02702	GWD	0.000257	0.959745	0.039978	0.000010	0.000010
1170	HG02620	GWD	0.000010	0.996441	0.002718	0.000010	0.000821
1234	HG02772	GWD	0.005387	0.994005	0.000588	0.000010	0.000010
1267	HG02854	GWD	0.000010	0.991396	0.000010	0.008574	0.000010
1149	HG02573	GWD	0.000010	0.980685	0.019285	0.000010	0.000010
1171	HG02621	GWD	0.002685	0.986576	0.003590	0.000010	0.007138
1257	HG02816	GWD	0.000010	0.983779	0.013275	0.002926	0.000010
1146	HG02568	GWD	0.000624	0.970802	0.023111	0.005453	0.000010
1254	HG02811	GWD	0.000010	0.988156	0.002449	0.009375	0.000010
1321	HG03045	GWD	0.000010	0.977812	0.022158	0.000010	0.000010
1491	HG03539	GWD	0.004981	0.936143	0.058856	0.000010	0.000010
1256	HG02814	GWD	0.004171	0.982186	0.000010	0.013623	0.000010
1176	HG02634	GWD	0.000010	0.967957	0.032013	0.000010	0.000010
1318	HG03028	GWD	0.002555	0.978284	0.007657	0.008616	0.002888
1277	HG02885	GWD	0.000010	0.980802	0.009231	0.009947	0.000010
1247	HG02798	GWD	0.000010	0.986742	0.008280	0.004958	0.000010
1169	HG02614	GWD	0.000010	0.949240	0.050730	0.000010	0.000010
1145	HG02562	GWD	0.000010	0.985684	0.014286	0.000010	0.000010
1213	HG02715	GWD	0.000594	0.985359	0.004774	0.009264	0.000010
1158	HG02589	GWD	0.000010	0.974200	0.024686	0.000010	0.001094
1178	HG02642	GWD	0.000010	0.975138	0.024832	0.000010	0.000010
1229	HG02760	GWD	0.001933	0.982432	0.015615	0.000010	0.000010
1179	HG02643	GWD	0.001932	0.973385	0.021998	0.002675	0.000010
1144	HG02561	GWD	0.000010	0.966049	0.033921	0.000010	0.000010
1147	HG02570	GWD	0.000010	0.989248	0.007563	0.003170	0.000010
1150	HG02574	GWD	0.000010	0.953631	0.046339	0.000010	0.000010
1196	HG02678	GWD	0.000010	0.960168	0.025000	0.014812	0.000010
1319	HG03039	GWD	0.000010	0.989681	0.010289	0.000010	0.000010
1216	HG02722	GWD	0.000010	0.973354	0.020818	0.000010	0.005808
1408	HG03247	GWD	0.000010	0.985733	0.000010	0.000458	0.013789
1253	HG02810	GWD	0.002958	0.923240	0.073781	0.000010	0.000011
1320	HG03040	GWD	0.000010	0.984988	0.014673	0.000010	0.000319
1265	HG02851	GWD	0.000010	0.981078	0.017093	0.000010	0.001809
1177	HG02635	GWD	0.000010	0.973816	0.022920	0.000010	0.003245
1381	HG03163	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1486	HG03517	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1423	HG03300	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1376	HG03139	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1394	HG03202	ESN	0.000010	0.997544	0.002426	0.000010	0.000010
1430	HG03343	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1375	HG03136	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1382	HG03166	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1388	HG03190	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1302	HG02981	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1356	HG03108	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1384	HG03169	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
1366	HG03123	ESN	0.000010	0.999960	0.000010	0.000010	0.000010
