group	group_label	group_color	transcript_type	transcript_label	sample_size	mean_detection_ratio	incremental_detection_ratio
Gallbladder	Gallbladder	#8F8495	novel	Novel	7	0.8680579005494253	0.053386328633377444
Gallbladder	Gallbladder	#8F8495	novel	Novel	8	0.9170708101998613	0.04901290965043592
Gallbladder	Gallbladder	#8F8495	novel	Novel	9	0.9600319434572792	0.042961133257417905
Gallbladder	Gallbladder	#8F8495	novel	Novel	10	1.0	0.03996805654272084
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	1	0.4301695084562305	0.4301695084562305
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	2	0.5912093188049713	0.16103981034874082
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	3	0.6925965295519972	0.10138721074702595
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	4	0.766492472305277	0.07389594275327971
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	5	0.8217476146011853	0.05525514229590833
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	6	0.8669086312906793	0.045161016689494016
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	7	0.9090330496195004	0.04212441832882108
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	8	0.944349931255146	0.035316881635645614
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	9	0.973064662533482	0.028714731278336014
Heart_Left_Atrium	Heart left atrium	#6F1F71	known	Annotated	10	1.0	0.026935337466517995
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	1	0.2781649823402956	0.2781649823402956
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	2	0.4440293977656409	0.1658644154253453
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	3	0.5644741153224957	0.12044471755685482
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	4	0.6609518814592853	0.0964777661367896
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	5	0.7361660128261036	0.07521413136681832
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	6	0.8000454889744505	0.06387947614834688
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	7	0.8616131853907633	0.06156769641631277
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	8	0.9146223106360548	0.053009125245291555
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	9	0.9584033941576116	0.04378108352155674
Heart_Left_Atrium	Heart left atrium	#6F1F71	novel	Novel	10	1.0	0.041596605842388445
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	1	0.5002939466276869	0.5002939466276869
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	2	0.6352588712368099	0.13496492460912302
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	3	0.7210059628322089	0.08574709159539895
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	4	0.7851308076670056	0.06412484483479675
Heart_Left_Ventricle	Heart left ventricle	#9C5CA1	known	Annotated	5	0.8363192947301795	0.051188487063173915
