sample	MDS1	MDS2	Tissue	Tissue_Color_Code	batch
GTOP-AK091-1710-LN-GV2U	17.3317073821144	-6.5294929486616	Esophagus	AF8C5C	Z240428323
GTOP-AK091-3082-LN-G5ML	-19.1836282743619	-41.2382838175091	Spleen	768454	Z240428323
GTOP-AK091-4002-LN-K2CP	47.8702722067243	0.574860254237188	Heart_Left_Ventricle	9C5CA1	Z250930175
GTOP-AK092-1053-LN-EU3G	-59.8848181434338	20.2723824106123	Liver	69AE6A	Z240428323
GTOP-AK111-1236-LN-96CC	-54.6209301157502	50.6903122228896	Pancreas_Body	902222	Z240428323
GTOP-AK112-0262-LN-69AQ	3.66683813063049	-7.86643140700217	Skin	3A71A4	Z240428323
GTOP-AK112-1710-LN-JIC2	12.8545964019712	-8.2308687642574	Esophagus	AF8C5C	Z240428323
GTOP-AK112-4002-LN-253Y	69.0594876050268	21.8563152570163	Heart_Left_Ventricle	9C5CA1	Z250930175
GTOP-AK112-4023-LN-C6S4	15.2446158331025	-8.23745635405258	Heart_Tricuspid_Valve	9F98BF	Z250930175
GTOP-AK221-0160-LN-5QNM	6.21228128679089	-12.918179607796	Adipose	E59525	Z240428323
GTOP-AK221-2099-LN-HRK7	-13.5019086759024	-2.27641043615539	Adrenal_Gland	A8D650	Z240428323
GTOP-AK231-1710-LN-PM9Z	14.2635395916212	-5.00884441264615	Esophagus	AF8C5C	Z240428323
GTOP-AK231-5032-LN-8VKH	-18.5925133486116	-16.0333570815061	Lung_Base	AECBD1	Z250930175
GTOP-AK281-1108-LN-OG4N	-69.9919505436944	64.5832902084166	Pancreas_Head	AB5F2C	Z250930175
GTOP-AL121-0378-LN-B7E5	-32.4016137859609	-102.660018370222	Whole_Blood	CC418D	Z240428323
GTOP-AL121-1053-LN-B34O	-61.9634836206249	28.4279082949427	Liver	69AE6A	Z240428323
GTOP-AL271-1856-LN-P7QF	-25.4636958305666	2.3741214646806	Gallbladder	8F8495	Z240428323
GTOP-BA041-1236-LN-QT1S	-60.461428381177	51.378978231155	Pancreas_Body	902222	Z240428323
GTOP-BA082-0160-LN-PS7K	1.70569365118635	-7.85189699487279	Adipose	E59525	Z240428323
GTOP-BA131-1053-LN-D252	-72.1176805259434	37.6388533154628	Liver	69AE6A	Z250930175
GTOP-BA131-2099-LN-H19X	-5.48331285406961	-5.55072757849175	Adrenal_Gland	A8D650	Z250930175
GTOP-BA191-2099-LN-0UK9	-5.72436452209542	-5.16620828815044	Adrenal_Gland	A8D650	Z250930175
GTOP-BA231-3082-LN-C7XW	-19.2789652897149	-47.9086677167251	Spleen	768454	Z240428323
GTOP-BA231-4155-LN-ACR5	21.3135203651399	-9.9553556394493	Aortic_Arch	758E90	Z250930175
GTOP-BA232-0378-LN-1KY8	-33.1085068979914	-100.45662606422	Whole_Blood	CC418D	Z240428323
GTOP-BA232-1856-LN-N289	-16.6200451267489	0.656375160711452	Gallbladder	8F8495	Z240428323
