gene	gene_id	module_MEnumber	module_Color
112517	ENST00000841098.1	ME1	turquoise
112518	ENST00000841114.1	ME2	blue
112520	ENST00000841117.1	ME1	turquoise
112521	ENST00000841141.1	ME2	blue
112522	ENST00000841190.1	ME1	turquoise
112523	ENST00000841233.1	ME1	turquoise
112526	ENST00000841274.1	ME2	blue
112528	ENST00000841297.1	ME1	turquoise
112529	ENST00000841299.1	ME1	turquoise
112530	ENST00000841301.1	ME1	turquoise
112531	ENST00000841311.1	ME2	blue
112533	ENST00000841320.1	ME2	blue
112535	ENST00000841331.1	ME2	blue
112536	ENST00000841355.1	ME1	turquoise
112538	ENST00000841363.1	ME1	turquoise
112542	ENST00000841409.1	ME1	turquoise
112543	ENST00000841422.1	ME3	brown
112545	ENST00000841425.1	ME3	brown
112546	ENST00000841426.1	ME3	brown
112547	ENST00000841429.1	ME2	blue
112548	ENST00000841430.1	ME2	blue
112549	ENST00000841461.1	ME1	turquoise
112550	ENST00000841465.1	ME1	turquoise
112552	ENST00000841468.1	ME2	blue
112556	ENST00000841501.1	ME1	turquoise
112557	ENST00000841560.1	ME2	blue
112558	ENST00000841562.1	ME1	turquoise
112559	ENST00000841564.1	ME1	turquoise
112560	ENST00000841567.1	ME1	turquoise
112561	ENST00000841569.1	ME1	turquoise
112562	ENST00000841640.1	ME1	turquoise
112564	ENST00000841644.1	ME1	turquoise
112565	ENST00000841651.1	ME1	turquoise
112568	ENST00000841674.1	ME1	turquoise
112570	ENST00000841708.1	ME1	turquoise
112572	ENST00000841725.1	ME3	brown
112573	ENST00000841741.1	ME2	blue
112574	ENST00000841742.1	ME7	black
112576	ENST00000841747.1	ME7	black
112577	ENST00000841749.1	ME7	black
112578	ENST00000841750.1	ME7	black
112579	ENST00000841754.1	ME7	black
112580	ENST00000841756.1	ME7	black
112581	ENST00000841759.1	ME7	black
112582	ENST00000841760.1	ME7	black
112583	ENST00000841761.1	ME7	black
112584	ENST00000841764.1	ME3	brown
112585	ENST00000841766.1	ME1	turquoise
112586	ENST00000841791.1	ME1	turquoise
112588	ENST00000841814.1	ME2	blue
112589	ENST00000841819.1	ME1	turquoise
112590	ENST00000841831.1	ME9	magenta
112592	ENST00000841841.1	ME2	blue
112593	ENST00000841843.1	ME1	turquoise
112594	ENST00000841845.1	ME2	blue
112595	ENST00000841846.1	ME5	green
112597	ENST00000841857.1	ME9	magenta
112599	ENST00000841895.1	ME9	magenta
112600	ENST00000841905.1	ME1	turquoise
112604	ENST00000842018.1	ME1	turquoise
112610	ENST00000842118.1	ME5	green
112611	ENST00000842124.1	ME3	brown
112612	ENST00000842126.1	ME3	brown
112613	ENST00000842129.1	ME3	brown
112615	ENST00000842153.1	ME1	turquoise
112616	ENST00000842154.1	ME1	turquoise
112617	ENST00000842230.1	ME1	turquoise
112619	ENST00000842234.1	ME1	turquoise
112620	ENST00000842239.1	ME1	turquoise
112621	ENST00000842244.1	ME1	turquoise
112622	ENST00000842305.1	ME18	lightgreen
112623	ENST00000842308.1	ME2	blue
112625	ENST00000842339.1	ME1	turquoise
112627	ENST00000842389.1	ME2	blue
112633	ENST00000842416.1	ME5	green
112634	ENST00000842418.1	ME2	blue
112635	ENST00000842421.1	ME2	blue
112637	ENST00000842423.1	ME1	turquoise
112639	ENST00000842443.1	ME1	turquoise
112640	ENST00000842444.1	ME1	turquoise
112642	ENST00000842448.1	ME1	turquoise
112643	ENST00000842451.1	ME2	blue
112644	ENST00000842453.1	ME1	turquoise
112645	ENST00000842457.1	ME1	turquoise
112646	ENST00000842469.1	ME1	turquoise
112647	ENST00000842480.1	ME1	turquoise
112648	ENST00000842482.1	ME1	turquoise
112649	ENST00000842487.1	ME3	brown
112650	ENST00000842505.1	ME2	blue
112654	ENST00000842526.1	ME2	blue
112657	ENST00000842546.1	ME2	blue
112660	ENST00000842569.1	ME2	blue
112661	ENST00000842572.1	ME2	blue
112662	ENST00000842589.1	ME1	turquoise
112663	ENST00000842592.1	ME2	blue
112667	ENST00000842605.1	ME2	blue
112668	ENST00000842611.1	ME2	blue
112670	ENST00000842623.1	ME1	turquoise
112672	ENST00000842652.1	ME2	blue
112675	ENST00000842669.1	ME3	brown
112678	ENST00000842705.1	ME3	brown
112680	ENST00000842749.1	ME2	blue
112681	ENST00000842766.1	ME1	turquoise
112683	ENST00000842768.1	ME1	turquoise
112684	ENST00000842780.1	ME2	blue
112686	ENST00000842812.1	ME2	blue
112687	ENST00000842824.1	ME1	turquoise
112688	ENST00000842831.1	ME2	blue
112689	ENST00000842832.1	ME1	turquoise
112690	ENST00000842855.1	ME1	turquoise
112691	ENST00000842864.1	ME2	blue
112692	ENST00000842882.1	ME1	turquoise
112693	ENST00000842883.1	ME1	turquoise
112694	ENST00000842885.1	ME1	turquoise
112696	ENST00000842915.1	ME2	blue
112697	ENST00000842916.1	ME1	turquoise
112698	ENST00000842917.1	ME2	blue
112699	ENST00000842919.1	ME1	turquoise
112701	ENST00000842941.1	ME1	turquoise
112702	ENST00000842964.1	ME1	turquoise
112705	ENST00000843051.1	ME2	blue
112706	ENST00000843060.1	ME1	turquoise
112707	ENST00000843065.1	ME1	turquoise
112708	ENST00000843066.1	ME1	turquoise
112711	ENST00000843073.1	ME1	turquoise
112714	ENST00000843077.1	ME1	turquoise
112716	ENST00000843082.1	ME1	turquoise
112717	ENST00000843113.1	ME1	turquoise
112718	ENST00000843117.1	ME4	yellow
112724	ENST00000843147.1	ME3	brown
112727	ENST00000843166.1	ME3	brown
112732	ENST00000843177.1	ME2	blue
112733	ENST00000843182.1	ME1	turquoise
112734	ENST00000843226.1	ME8	pink
112735	ENST00000843247.1	ME3	brown
112737	ENST00000843324.1	ME9	magenta
112738	ENST00000843328.1	ME9	magenta
112740	ENST00000843341.1	ME1	turquoise
112741	ENST00000843346.1	ME1	turquoise
112742	ENST00000843348.1	ME1	turquoise
112743	ENST00000843375.1	ME1	turquoise
112744	ENST00000843387.1	ME18	lightgreen
112746	ENST00000843405.1	ME1	turquoise
112749	ENST00000843528.1	ME1	turquoise
112753	ENST00000843587.1	ME1	turquoise
112754	ENST00000843595.1	ME1	turquoise
112755	ENST00000843620.1	ME25	orange
112756	ENST00000843676.1	ME1	turquoise
112757	ENST00000843684.1	ME3	brown
112759	ENST00000843709.1	ME1	turquoise
112760	ENST00000843787.1	ME1	turquoise
112761	ENST00000843806.1	ME1	turquoise
112762	ENST00000843822.1	ME3	brown
112763	ENST00000843823.1	ME1	turquoise
112764	ENST00000843832.1	ME1	turquoise
112765	ENST00000843908.1	ME4	yellow
112766	ENST00000843909.1	ME1	turquoise
112767	ENST00000843925.1	ME4	yellow
112768	ENST00000843931.1	ME1	turquoise
112770	ENST00000843948.1	ME1	turquoise
112772	ENST00000844012.1	ME1	turquoise
112773	ENST00000844036.1	ME2	blue
112774	ENST00000844045.1	ME1	turquoise
112775	ENST00000844056.1	ME1	turquoise
112776	ENST00000844057.1	ME1	turquoise
112777	ENST00000844151.1	ME1	turquoise
112778	ENST00000844172.1	ME1	turquoise
112779	ENST00000844188.1	ME1	turquoise
112780	ENST00000844198.1	ME2	blue
112781	ENST00000844201.1	ME1	turquoise
112782	ENST00000844207.1	ME2	blue
112783	ENST00000844227.1	ME2	blue
112784	ENST00000844228.1	ME1	turquoise
112785	ENST00000844369.1	ME1	turquoise
112787	ENST00000844397.1	ME3	brown
112789	ENST00000844441.1	ME5	green
112792	ENST00000844465.1	ME1	turquoise
112794	ENST00000844468.1	ME2	blue
112796	ENST00000844475.1	ME1	turquoise
112797	ENST00000844506.1	ME1	turquoise
112802	ENST00000844536.1	ME1	turquoise
112804	ENST00000844538.1	ME1	turquoise
112805	ENST00000844575.1	ME2	blue
